Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
03/06/2023,2022,Troyes,Lille,12.0,6.5,1.22,1.0,1.0,D,0,2,2,5,0,1,6,56,0,1,1,2,0,0,6,56
03/06/2023,2022,Reims,Montpellier,2.0,3.8,3.4,1.0,3.0,A,1,1,3,4,0,1,44,33,2,1,11,5,2,0,44,33
03/06/2023,2022,Paris SG,Clermont,1.22,6.5,10.0,2.0,3.0,A,2,1,9,4,2,1,72,11,1,1,4,4,0,0,72,11
03/06/2023,2022,Nice,Lyon,2.38,4.0,2.7,3.0,1.0,H,1,1,3,3,0,0,33,39,2,1,5,4,0,0,33,39
03/06/2023,2022,Nantes,Angers,1.36,5.25,8.0,1.0,0.0,H,0,2,2,7,0,2,22,44,0,2,5,9,0,2,22,44
03/06/2023,2022,Monaco,Toulouse,1.45,5.25,5.5,1.0,2.0,A,1,1,3,5,1,1,50,17,1,0,1,0,0,0,50,17
03/06/2023,2022,Lorient,Strasbourg,3.0,3.5,2.3,2.0,1.0,H,1,2,3,5,0,1,44,22,2,0,5,1,2,0,44,22
03/06/2023,2022,Brest,Rennes,5.75,4.2,1.55,1.0,2.0,A,3,0,5,1,1,0,39,28,1,2,6,3,1,0,39,28
03/06/2023,2022,Auxerre,Lens,2.8,3.6,2.38,1.0,3.0,A,0,1,3,4,0,0,28,39,2,1,5,4,1,1,28,39
03/06/2023,2022,Ajaccio,Marseille,9.0,5.25,1.33,1.0,0.0,H,0,1,0,5,0,1,17,17,1,2,4,5,0,0,17,17
27/05/2023,2022,Toulouse,Auxerre,2.2,3.6,3.1,1.0,1.0,D,0,2,1,3,0,0,33,28,1,2,4,3,1,0,33,28
27/05/2023,2022,Strasbourg,Paris SG,5.0,4.2,1.62,1.0,1.0,D,2,1,6,3,2,0,28,33,3,0,7,3,1,0,28,33
27/05/2023,2022,Rennes,Monaco,2.05,3.75,3.3,2.0,0.0,H,3,0,11,2,3,0,78,0,1,2,3,7,0,2,78,0
27/05/2023,2022,Montpellier,Nice,2.45,3.5,2.8,2.0,3.0,A,1,1,3,3,0,0,39,17,1,2,1,3,0,1,39,17
27/05/2023,2022,Marseille,Brest,1.36,5.25,7.0,1.0,2.0,A,3,0,8,3,2,0,56,22,0,1,2,3,0,0,56,22
27/05/2023,2022,Lyon,Reims,1.57,4.75,5.0,3.0,0.0,H,2,1,9,7,1,0,50,28,0,3,1,6,0,1,50,28
27/05/2023,2022,Lille,Nantes,1.44,4.75,7.0,2.0,1.0,H,3,0,7,2,1,0,67,22,0,2,1,4,0,1,67,22
27/05/2023,2022,Lens,Ajaccio,1.13,9.0,17.0,3.0,0.0,H,3,0,7,2,1,0,89,6,0,3,1,11,0,3,89,6
27/05/2023,2022,Clermont,Lorient,2.15,3.4,3.4,2.0,0.0,H,3,0,5,2,0,0,44,17,1,1,5,5,1,1,44,17
27/05/2023,2022,Angers,Troyes,1.95,3.75,3.6,2.0,1.0,H,1,2,3,4,0,0,11,17,0,2,3,9,0,2,11,17
21/05/2023,2022,Auxerre,Paris SG,8.0,5.25,1.36,1.0,2.0,A,1,0,4,3,0,0,29,41,3,0,7,2,2,0,29,41
21/05/2023,2022,Lorient,Lens,5.5,4.33,1.57,1.0,3.0,A,1,1,2,2,0,0,47,24,2,1,3,3,0,1,47,24
21/05/2023,2022,Troyes,Strasbourg,5.5,4.33,1.57,1.0,1.0,D,0,3,1,6,0,2,6,53,2,1,5,2,2,0,6,53
21/05/2023,2022,Reims,Angers,1.36,5.5,7.0,2.0,2.0,D,1,1,2,3,0,1,47,29,0,3,4,9,0,2,47,29
21/05/2023,2022,Nice,Toulouse,1.85,3.75,3.8,0.0,0.0,D,1,2,3,5,0,1,35,35,2,0,3,1,0,0,35,35
21/05/2023,2022,Brest,Clermont,2.05,3.5,3.6,2.0,1.0,H,3,0,4,0,1,0,35,29,2,0,5,2,1,0,35,29
21/05/2023,2022,Ajaccio,Rennes,7.0,4.2,1.5,0.0,5.0,A,0,1,0,3,0,1,18,18,0,3,2,6,0,1,18,18
20/05/2023,2022,Lille,Marseille,2.4,3.6,2.75,2.0,1.0,H,3,0,8,2,2,0,65,24,1,1,3,3,0,0,65,24
20/05/2023,2022,Nantes,Montpellier,2.1,3.5,3.4,0.0,3.0,A,0,1,4,6,0,1,24,47,1,2,9,7,1,0,24,47
19/05/2023,2022,Lyon,Monaco,2.38,4.0,2.6,3.0,1.0,H,2,1,9,7,1,0,47,29,1,1,4,6,0,1,47,29
14/05/2023,2022,Marseille,Angers,1.18,7.5,14.0,3.0,1.0,H,2,0,6,3,1,0,53,24,0,3,3,9,0,2,53,24
14/05/2023,2022,Monaco,Lille,2.8,3.6,2.4,0.0,0.0,D,2,1,7,8,1,1,53,12,0,2,1,3,0,0,53,12
14/05/2023,2022,Toulouse,Nantes,2.1,3.5,3.4,0.0,0.0,D,0,3,1,5,0,1,35,24,0,2,2,5,0,1,35,24
14/05/2023,2022,Rennes,Troyes,1.25,6.0,11.0,4.0,0.0,H,2,1,7,3,2,0,76,0,0,2,3,6,0,1,76,0
14/05/2023,2022,Montpellier,Lorient,1.83,3.75,4.2,1.0,1.0,D,2,1,4,3,0,0,41,12,1,2,5,7,1,2,41,12
