Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
27/05/2023,2022,Wolfsburg,Hertha,1.36,5.25,8.0,1,2,A,2,0,5,1,1,0,38,44,0,3,4,12,0,3,38,44
27/05/2023,2022,Union Berlin,Werder Bremen,1.44,4.75,7.0,1,0,H,1,0,5,3,1,0,62,38,1,2,6,6,1,0,62,38
27/05/2023,2022,Stuttgart,Hoffenheim,1.57,4.75,5.0,1,1,D,1,0,6,5,0,0,31,31,0,2,2,4,0,0,31,31
27/05/2023,2022,RB Leipzig,Schalke 04,1.6,4.5,4.75,4,2,H,3,0,6,3,0,0,75,12,1,2,3,12,0,2,75,12
27/05/2023,2022,M'gladbach,Augsburg,2.2,3.8,3.0,2,0,H,2,1,4,1,2,0,56,19,0,2,5,7,0,0,56,19
27/05/2023,2022,FC Koln,Bayern Munich,7.5,6.0,1.3,1,2,A,1,1,6,4,1,0,38,31,2,1,4,4,0,1,38,31
27/05/2023,2022,Ein Frankfurt,Freiburg,2.4,3.75,2.7,2,1,H,1,0,5,2,1,0,50,31,2,1,5,5,0,1,50,31
27/05/2023,2022,Dortmund,Mainz,1.14,8.5,15.0,2,2,D,3,0,15,2,3,0,88,6,0,2,1,7,0,2,88,6
27/05/2023,2022,Bochum,Leverkusen,3.25,4.0,2.0,3,0,H,1,1,5,8,0,1,44,12,0,0,1,1,0,0,44,12
21/05/2023,2022,Leverkusen,M'gladbach,1.45,5.25,5.75,2,2,D,2,1,6,3,2,0,50,12,0,2,4,8,0,1,50,12
21/05/2023,2022,Augsburg,Dortmund,7.0,5.5,1.36,0,3,A,1,1,3,4,0,1,38,25,0,1,6,8,0,1,38,25
21/05/2023,2022,Mainz,Stuttgart,2.5,3.5,2.7,1,4,A,1,1,7,6,1,0,38,38,1,1,5,5,0,0,38,38
20/05/2023,2022,Bayern Munich,RB Leipzig,1.5,5.0,5.5,1,3,A,2,0,9,1,2,0,69,31,2,1,2,2,0,1,69,31
20/05/2023,2022,Werder Bremen,FC Koln,2.6,3.6,2.55,1,1,D,0,3,3,6,0,0,31,6,3,0,8,3,2,0,31,6
20/05/2023,2022,Schalke 04,Ein Frankfurt,3.0,3.6,2.25,2,2,D,2,1,7,6,1,1,31,25,0,3,2,10,0,3,31,25
20/05/2023,2022,Hoffenheim,Union Berlin,2.5,3.4,2.8,4,2,H,2,1,6,4,2,1,38,12,1,2,2,3,0,0,38,12
20/05/2023,2022,Hertha,Bochum,2.2,3.6,3.1,1,1,D,1,2,4,6,0,1,31,31,0,1,2,4,0,1,31,31
19/05/2023,2022,Freiburg,Wolfsburg,2.0,3.8,3.4,2,0,H,1,2,4,2,1,0,56,25,1,2,5,9,1,2,56,25
14/05/2023,2022,RB Leipzig,Werder Bremen,1.25,6.5,10.0,2,1,H,2,1,4,5,0,1,73,13,1,1,7,6,1,0,73,13
14/05/2023,2022,Stuttgart,Leverkusen,2.5,3.4,2.75,1,1,D,1,1,5,5,0,0,33,27,1,0,3,0,1,0,33,27
13/05/2023,2022,Dortmund,M'gladbach,1.25,6.5,10.0,5,2,H,3,0,12,1,2,0,87,7,0,1,2,3,0,0,87,7
13/05/2023,2022,Wolfsburg,Hoffenheim,1.91,3.75,3.8,2,1,H,1,0,5,2,1,0,33,47,1,1,3,3,0,0,33,47
13/05/2023,2022,Union Berlin,Freiburg,2.2,3.2,3.5,4,2,H,1,0,4,1,1,0,60,40,2,0,4,2,0,0,60,40
