Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
04/06/2023,2022,Udinese,Juventus,3.8,3.5,1.95,0.0,1.0,A,1,1,3,2,1,0,33,50,1,1,4,5,1,1,33,50
04/06/2023,2022,Roma,Spezia,1.95,3.6,3.8,2.0,1.0,H,0,1,3,5,0,1,56,17,0,2,2,5,0,1,56,17
04/06/2023,2022,Milan,Verona,1.73,4.0,4.5,3.0,1.0,H,2,0,8,2,2,0,67,22,1,1,3,4,0,1,67,22
04/06/2023,2022,Lecce,Bologna,2.75,3.5,2.45,2.0,3.0,A,1,1,1,1,0,0,17,44,1,1,7,5,1,1,17,44
04/06/2023,2022,Atalanta,Monza,1.57,4.5,5.0,5.0,2.0,H,2,1,6,5,1,1,50,17,2,0,5,2,1,0,50,17
04/06/2023,2022,Napoli,Sampdoria,1.18,7.0,13.0,2.0,0.0,H,2,0,5,2,1,0,72,17,0,3,1,12,0,3,72,17
03/06/2023,2022,Empoli,Lazio,3.25,3.75,2.1,0.0,2.0,A,3,0,9,3,2,0,44,22,1,2,2,5,0,2,44,22
03/06/2023,2022,Cremonese,Salernitana,2.6,3.6,2.5,2.0,0.0,H,1,1,4,6,1,1,17,22,0,1,4,5,0,0,17,22
03/06/2023,2022,Torino,Inter,2.3,3.5,3.0,0.0,1.0,A,0,1,3,4,0,0,28,39,2,1,9,3,2,1,28,39
02/06/2023,2022,Sassuolo,Fiorentina,2.6,3.75,2.5,1.0,3.0,A,1,1,4,4,0,0,44,22,0,1,4,5,0,0,44,22
28/05/2023,2022,Juventus,Milan,2.3,3.4,3.1,0.0,1.0,A,2,1,4,2,1,0,72,17,0,1,2,4,0,1,72,17
28/05/2023,2022,Lazio,Cremonese,1.22,6.5,12.0,3.0,2.0,H,1,1,4,3,1,0,56,22,0,2,1,6,0,2,56,22
28/05/2023,2022,Monza,Lecce,2.45,3.3,2.9,0.0,1.0,A,2,0,6,3,1,0,39,28,0,2,3,6,0,1,39,28
28/05/2023,2022,Bologna,Napoli,3.4,3.3,2.2,2.0,2.0,D,0,0,2,2,0,0,39,44,1,1,2,3,0,1,39,44
28/05/2023,2022,Verona,Empoli,1.7,3.8,5.0,1.0,1.0,D,1,2,2,8,0,1,33,11,0,2,2,4,0,0,33,11
27/05/2023,2022,Inter,Atalanta,1.83,3.8,4.0,3.0,2.0,H,2,1,7,4,2,0,72,0,1,1,3,3,0,0,72,0
27/05/2023,2022,Fiorentina,Roma,2.05,3.5,3.6,2.0,1.0,H,2,0,8,1,2,0,44,33,0,1,2,4,0,1,44,33
27/05/2023,2022,Spezia,Torino,2.38,3.25,3.1,0.0,4.0,A,1,2,2,5,1,2,22,44,3,0,4,0,1,0,22,44
27/05/2023,2022,Salernitana,Udinese,2.7,3.5,2.55,3.0,2.0,H,2,0,7,3,1,0,33,33,0,3,0,6,0,2,33,33
26/05/2023,2022,Sampdoria,Sassuolo,3.8,4.1,1.83,2.0,2.0,D,0,1,2,4,0,1,6,33,0,3,2,9,0,3,6,33
22/05/2023,2022,Empoli,Juventus,5.5,3.75,1.65,4.0,1.0,H,2,1,5,5,1,1,41,24,1,1,3,2,1,0,41,24
22/05/2023,2022,Roma,Salernitana,1.45,4.2,7.5,2.0,2.0,D,1,1,4,3,1,1,59,12,0,1,3,4,0,0,59,12
21/05/2023,2022,Udinese,Lazio,3.8,3.4,2.0,0.0,1.0,A,2,0,6,1,2,0,35,53,1,2,4,5,1,2,35,53
21/05/2023,2022,Napoli,Inter,2.9,3.3,2.45,3.0,1.0,H,1,0,2,1,0,0,71,18,3,0,11,0,3,0,71,18
21/05/2023,2022,Torino,Fiorentina,1.95,3.4,4.2,1.0,1.0,D,0,1,3,4,0,0,29,35,0,2,5,7,0,0,29,35
21/05/2023,2022,Lecce,Spezia,2.2,3.1,3.6,0.0,0.0,D,1,1,2,2,0,0,18,41,0,2,3,6,0,1,18,41
