Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
28/05/2023,2022,Volendam,Excelsior,1.7,4.33,4.0,3.0,2.0,H,2,1,6,4,1,0,50,6,0,1,0,4,0,1,50,6
28/05/2023,2022,Utrecht,FC Emmen,1.53,4.5,5.75,3.0,2.0,H,2,0,3,0,1,0,44,31,1,2,5,10,0,2,44,31
28/05/2023,2022,Twente,Ajax,4.0,4.2,1.75,3.0,1.0,H,2,0,11,3,2,0,75,25,1,1,3,5,0,1,75,25
28/05/2023,2022,Heerenveen,Go Ahead Eagles,2.0,4.0,3.3,2.0,0.0,H,1,1,4,4,0,0,31,19,0,3,1,7,0,2,31,19
28/05/2023,2022,Groningen,Sparta Rotterdam,3.2,3.6,2.2,0.0,5.0,A,0,3,3,6,0,0,19,19,1,1,5,5,0,0,19,19
28/05/2023,2022,For Sittard,Nijmegen,2.6,3.6,2.6,1.0,1.0,D,2,1,5,4,2,1,31,19,1,1,1,4,0,1,31,19
28/05/2023,2022,Feyenoord,Vitesse,1.29,6.0,9.0,0.0,1.0,A,3,0,11,2,3,0,75,25,1,2,4,4,1,1,75,25
28/05/2023,2022,Cambuur,Waalwijk,3.4,3.8,1.95,4.0,0.0,H,0,3,1,8,0,2,12,0,0,3,2,8,0,2,12,0
28/05/2023,2022,AZ Alkmaar,PSV Eindhoven,2.63,3.75,2.45,1.0,2.0,A,2,1,8,2,2,0,56,31,3,0,8,4,1,0,56,31
21/05/2023,2022,Waalwijk,Twente,3.8,4.2,1.8,0.0,5.0,A,3,0,7,2,1,0,56,19,1,1,3,1,1,0,56,19
21/05/2023,2022,Vitesse,Groningen,1.44,4.5,7.5,6.0,0.0,H,2,0,4,0,2,0,25,38,0,2,3,6,0,1,25,38
21/05/2023,2022,Sparta Rotterdam,Cambuur,1.4,4.75,8.0,4.0,1.0,H,1,2,5,4,1,1,56,12,0,3,0,8,0,3,56,12
21/05/2023,2022,PSV Eindhoven,Heerenveen,1.2,6.5,15.0,3.0,3.0,D,3,0,9,1,2,0,88,6,1,1,4,7,0,1,88,6
21/05/2023,2022,Nijmegen,AZ Alkmaar,4.33,3.8,1.8,0.0,3.0,A,0,3,5,11,0,2,19,56,1,1,4,2,1,0,19,56
21/05/2023,2022,Go Ahead Eagles,Volendam,1.75,4.0,4.33,3.0,0.0,H,2,0,6,3,1,0,38,38,0,2,2,6,0,1,38,38
21/05/2023,2022,FC Emmen,Feyenoord,6.5,4.75,1.45,1.0,3.0,A,0,2,0,5,0,2,19,56,3,0,8,1,3,0,19,56
21/05/2023,2022,Excelsior,For Sittard,1.95,3.6,3.8,3.0,0.0,H,1,1,2,3,0,1,44,12,0,3,1,8,0,2,44,12
21/05/2023,2022,Ajax,Utrecht,1.29,6.0,10.0,3.0,1.0,H,2,0,7,1,2,0,56,31,2,1,6,4,1,1,56,31
14/05/2023,2022,Groningen,Ajax,13.0,6.5,1.22,2.0,3.0,A,0,3,1,5,0,1,20,20,1,1,4,5,1,1,20,20
14/05/2023,2022,PSV Eindhoven,For Sittard,1.11,10.0,17.0,2.0,1.0,H,3,0,12,2,3,0,87,7,0,3,1,8,0,2,87,7
14/05/2023,2022,AZ Alkmaar,FC Emmen,1.33,5.5,9.0,5.0,1.0,H,1,1,4,2,1,0,53,33,2,1,6,6,0,1,53,33
14/05/2023,2022,Feyenoord,Go Ahead Eagles,1.18,8.0,12.0,3.0,0.0,H,3,0,10,3,2,0,73,27,1,2,3,5,0,1,73,27
14/05/2023,2022,Vitesse,Cambuur,1.36,5.25,8.5,2.0,0.0,H,1,0,3,1,1,0,20,40,0,3,1,10,0,3,20,40
13/05/2023,2022,Utrecht,Waalwijk,1.57,4.5,5.0,2.0,0.0,H,1,1,2,2,0,0,40,33,0,3,3,11,0,2,40,33
13/05/2023,2022,Heerenveen,Excelsior,1.5,5.0,5.0,0.0,0.0,D,1,2,6,8,0,1,33,13,0,2,0,6,0,2,33,13
13/05/2023,2022,Volendam,Sparta Rotterdam,3.0,3.6,2.25,2.0,1.0,H,2,1,6,4,1,0,47,7,2,0,6,3,1,0,47,7
12/05/2023,2022,Twente,Nijmegen,1.44,4.75,6.5,4.0,0.0,H,2,0,9,4,1,0,73,27,2,0,4,1,1,0,73,27
07/05/2023,2022,For Sittard,Vitesse,3.4,3.5,2.1,2.0,0.0,H,1,2,3,7,1,2,27,20,1,2,5,5,1,1,27,20
07/05/2023,2022,Go Ahead Eagles,Groningen,1.7,3.8,5.0,1.0,1.0,D,2,0,5,2,1,0,40,33,0,3,2,6,0,1,40,33
07/05/2023,2022,Excelsior,Feyenoord,9.5,8.0,1.22,0.0,2.0,A,2,0,6,2,1,0,47,13,3,0,9,3,2,0,47,13
07/05/2023,2022,FC Emmen,Twente,4.5,4.0,1.73,0.0,3.0,A,1,1,2,2,1,1,20,60,1,1,3,1,1,0,20,60
06/05/2023,2022,Ajax,AZ Alkmaar,1.57,4.5,5.25,0.0,0.0,D,2,1,9,4,2,0,60,27,2,1,5,2,1,0,60,27
06/05/2023,2022,Nijmegen,Heerenveen,2.1,3.4,3.5,2.0,3.0,A,0,2,5,10,0,2,20,60,1,1,3,5,1,1,20,60
06/05/2023,2022,Cambuur,Utrecht,4.2,4.0,1.8,0.0,3.0,A,1,2,5,6,1,1,13,0,1,1,5,6,0,1,13,0
06/05/2023,2022,Sparta Rotterdam,PSV Eindhoven,6.0,4.33,1.53,0.0,1.0,A,2,1,8,4,2,1,60,13,2,0,8,5,1,0,60,13
05/05/2023,2022,Waalwijk,Volendam,1.8,4.0,4.0,4.0,1.0,H,2,1,4,4,0,1,53,20,0,2,2,4,0,0,53,20
25/04/2023,2022,Groningen,Nijmegen,2.88,3.3,2.55,0.0,1.0,A,1,2,4,4,1,1,21,21,1,1,3,2,1,0,21,21
23/04/2023,2022,AZ Alkmaar,Waalwijk,1.33,5.25,9.0,3.0,0.0,H,1,1,2,2,0,0,50,36,1,2,7,9,1,1,50,36
23/04/2023,2022,Feyenoord,Utrecht,1.36,5.0,9.0,3.0,1.0,H,3,0,8,2,1,0,71,29,2,0,7,3,1,0,71,29
23/04/2023,2022,PSV Eindhoven,Ajax,2.38,3.5,2.9,3.0,0.0,H,3,0,12,3,3,0,86,7,2,0,6,3,1,0,86,7
23/04/2023,2022,Go Ahead Eagles,For Sittard,1.91,3.5,4.2,2.0,0.0,H,2,0,5,2,1,0,36,36,1,2,3,7,0,1,36,36
23/04/2023,2022,Twente,Sparta Rotterdam,1.53,4.2,6.0,3.0,3.0,D,2,0,9,4,1,0,79,21,3,0,7,1,2,0,79,21
22/04/2023,2022,Vitesse,Excelsior,1.45,4.75,6.5,0.0,0.0,D,1,1,3,2,1,0,21,36,0,3,0,9,0,3,21,36
22/04/2023,2022,Heerenveen,FC Emmen,1.7,3.6,5.5,2.0,3.0,A,1,2,5,9,0,2,36,14,1,2,4,7,0,2,36,14
21/04/2023,2022,Volendam,Cambuur,1.7,4.0,4.5,2.0,0.0,H,2,1,7,5,1,0,43,7,0,3,3,13,0,3,43,7
