Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
27/05/2023,2022,Sp Braga,Pacos Ferreira,1.22,6.5,11.0,3.0,0.0,H,3,0,10,4,2,0,75,12,1,2,3,6,0,2,75,12
27/05/2023,2022,Porto,Guimaraes,1.22,6.5,11.0,3.0,0.0,H,3,0,5,2,0,0,88,0,2,1,4,3,0,0,88,0
27/05/2023,2022,Portimonense,Arouca,2.88,3.5,2.3,0.0,2.0,A,1,1,4,7,0,1,38,19,0,2,1,4,0,1,38,19
27/05/2023,2022,Benfica,Santa Clara,1.06,10.0,29.0,3.0,0.0,H,2,1,3,2,0,0,88,6,0,3,4,10,0,2,88,6
27/05/2023,2022,Estoril,Maritimo,2.25,3.3,3.2,3.0,1.0,H,2,1,5,1,2,0,38,12,0,3,3,6,0,0,38,12
27/05/2023,2022,Chaves,Boavista,2.1,3.5,3.4,1.0,4.0,A,3,0,4,0,1,0,38,31,0,2,2,5,0,1,38,31
27/05/2023,2022,Gil Vicente,Casa Pia,2.2,3.4,3.2,1.0,0.0,H,1,1,3,3,1,1,31,38,0,2,2,4,0,0,31,38
26/05/2023,2022,Vizela,Sp Lisbon,6.5,4.75,1.45,1.0,2.0,A,0,1,2,3,0,0,31,25,3,0,10,3,2,0,31,25
26/05/2023,2022,Rio Ave,Famalicao,2.9,3.25,2.4,2.0,2.0,D,1,1,2,2,0,0,50,12,1,1,4,3,1,0,50,12
21/05/2023,2022,Sp Lisbon,Benfica,2.55,3.3,2.5,2.0,2.0,D,2,0,5,3,0,0,81,6,2,1,7,2,2,0,81,6
21/05/2023,2022,Pacos Ferreira,Rio Ave,2.45,3.2,2.63,3.0,1.0,H,0,3,1,9,0,3,12,12,0,1,6,7,0,0,12,12
21/05/2023,2022,Casa Pia,Estoril,2.05,3.25,3.4,2.0,2.0,D,0,2,4,6,0,0,38,25,0,3,1,6,0,1,38,25
21/05/2023,2022,Guimaraes,Gil Vicente,1.7,3.6,4.33,1.0,0.0,H,1,1,3,2,1,1,56,19,0,3,2,5,0,0,56,19
20/05/2023,2022,Famalicao,Porto,6.0,4.33,1.4,2.0,4.0,A,2,1,6,5,0,0,56,6,3,0,5,1,1,0,56,6
20/05/2023,2022,Boavista,Sp Braga,5.5,4.0,1.53,1.0,1.0,D,3,0,6,3,0,0,50,31,2,1,3,2,0,0,50,31
20/05/2023,2022,Santa Clara,Portimonense,2.2,3.2,3.0,1.0,0.0,H,1,1,4,4,0,0,19,31,1,1,3,5,0,1,19,31
20/05/2023,2022,Arouca,Chaves,2.15,3.25,3.2,1.0,0.0,H,2,1,2,1,0,0,56,12,1,0,3,2,0,0,56,12
19/05/2023,2022,Maritimo,Vizela,1.73,3.75,4.5,1.0,0.0,H,1,1,6,5,1,0,31,19,1,2,1,4,0,1,31,19
15/05/2023,2022,Estoril,Arouca,2.45,3.1,2.8,2.0,0.0,H,2,1,4,1,1,0,33,13,1,1,2,2,0,0,33,13
14/05/2023,2022,Porto,Casa Pia,1.17,6.0,13.0,2.0,1.0,H,3,0,4,1,0,0,87,0,0,2,2,5,0,1,87,0
14/05/2023,2022,Sp Braga,Santa Clara,1.2,5.75,12.0,5.0,3.0,H,3,0,9,2,2,0,73,13,0,3,1,8,0,2,73,13
14/05/2023,2022,Rio Ave,Guimaraes,2.45,3.1,2.7,0.0,1.0,A,1,1,2,2,0,0,53,13,1,2,4,5,0,0,53,13
13/05/2023,2022,Sp Lisbon,Maritimo,1.2,6.5,9.5,2.0,1.0,H,2,0,6,2,1,0,80,7,0,3,2,6,0,1,80,7
13/05/2023,2022,Portimonense,Benfica,10.0,5.75,1.22,1.0,5.0,A,1,1,3,3,0,0,40,20,2,1,3,1,1,0,40,20
13/05/2023,2022,Vizela,Famalicao,2.3,3.3,2.75,0.0,0.0,D,1,1,5,4,1,0,33,20,2,1,6,4,1,0,33,20
13/05/2023,2022,Chaves,Pacos Ferreira,2.05,3.4,3.3,2.0,0.0,H,2,1,3,2,0,0,33,33,1,1,3,4,0,1,33,33
12/05/2023,2022,Gil Vicente,Boavista,2.3,3.3,2.8,3.0,1.0,H,0,1,0,2,0,1,27,40,0,2,3,6,0,1,27,40
08/05/2023,2022,Arouca,Porto,7.5,4.75,1.36,0.0,1.0,A,2,0,3,1,0,0,60,13,2,0,4,1,1,0,60,13
08/05/2023,2022,Famalicao,Chaves,1.95,3.3,3.75,1.0,2.0,A,2,1,5,4,0,0,60,7,1,0,3,1,1,0,60,7
07/05/2023,2022,Pacos Ferreira,Sp Lisbon,7.0,5.0,1.36,0.0,4.0,A,1,2,2,5,0,2,13,13,2,0,6,3,1,0,13,13
07/05/2023,2022,Guimaraes,Vizela,2.2,3.2,3.2,3.0,0.0,H,0,2,0,4,0,2,53,20,2,1,2,1,0,0,53,20
07/05/2023,2022,Maritimo,Rio Ave,2.3,3.1,3.1,2.0,2.0,D,2,1,8,5,2,0,33,13,1,1,6,5,1,0,33,13
06/05/2023,2022,Benfica,Sp Braga,1.55,4.2,5.5,1.0,0.0,H,2,1,7,3,1,0,87,7,3,0,7,1,1,0,87,7
06/05/2023,2022,Boavista,Estoril,2.0,3.3,3.6,1.0,0.0,H,2,1,6,5,0,0,47,33,0,3,3,8,0,1,47,33
06/05/2023,2022,Santa Clara,Gil Vicente,2.8,3.1,2.5,3.0,2.0,H,0,2,1,4,0,1,13,33,0,3,0,3,0,0,13,33
05/05/2023,2022,Casa Pia,Portimonense,2.05,3.2,3.5,1.0,1.0,D,1,2,5,5,1,0,40,20,1,2,2,5,0,1,40,20
30/04/2023,2022,Sp Lisbon,Famalicao,1.3,5.5,10.0,2.0,1.0,H,2,0,7,1,2,0,79,7,2,1,5,4,1,1,79,7
30/04/2023,2022,Porto,Boavista,1.18,6.5,15.0,1.0,0.0,H,3,0,6,3,0,0,86,0,0,2,3,8,0,2,86,0
30/04/2023,2022,Estoril,Santa Clara,2.15,3.2,3.4,3.0,0.0,H,1,2,1,3,0,1,29,14,0,3,1,6,0,1,29,14
29/04/2023,2022,Gil Vicente,Benfica,8.0,5.5,1.33,0.0,2.0,A,1,0,2,0,1,0,29,43,2,1,4,1,1,0,29,43
29/04/2023,2022,Vizela,Pacos Ferreira,1.8,3.4,4.5,1.0,2.0,A,1,1,4,6,1,1,36,21,0,1,2,4,0,1,36,21
29/04/2023,2022,Sp Braga,Portimonense,1.25,6.0,10.0,4.0,1.0,H,2,0,5,1,1,0,71,14,1,2,1,3,0,1,71,14
29/04/2023,2022,Maritimo,Guimaraes,2.55,3.25,2.88,1.0,2.0,A,2,1,7,6,2,1,36,14,0,3,3,9,0,1,36,14
28/04/2023,2022,Rio Ave,Arouca,2.45,3.0,3.1,1.0,0.0,H,1,1,3,3,0,0,50,14,2,0,4,1,1,0,50,14
24/04/2023,2022,Guimaraes,Sp Lisbon,5.5,4.0,1.55,0.0,2.0,A,1,1,2,3,0,1,57,21,2,0,5,3,0,0,57,21
23/04/2023,2022,Arouca,Vizela,2.63,3.2,2.75,1.0,0.0,H,2,0,4,1,1,0,57,14,3,0,5,0,1,0,57,14
23/04/2023,2022,Santa Clara,Chaves,2.6,3.1,2.75,1.0,1.0,D,0,3,1,6,0,2,14,29,1,1,2,1,1,0,14,29
23/04/2023,2022,Benfica,Estoril,1.09,9.0,21.0,1.0,0.0,H,2,1,8,3,2,0,86,7,0,3,3,9,0,2,86,7
23/04/2023,2022,Portimonense,Gil Vicente,2.45,3.3,2.7,1.0,0.0,H,0,2,2,4,0,0,36,21,0,3,1,4,0,0,36,21
22/04/2023,2022,Pacos Ferreira,Porto,10.0,5.0,1.29,0.0,2.0,A,1,2,3,6,0,2,14,14,2,0,5,2,1,0,14,14
22/04/2023,2022,Boavista,Rio Ave,2.3,3.2,3.1,3.0,2.0,H,1,1,3,3,0,0,43,36,1,1,4,4,1,1,43,36
