Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
13/05/18,2017,Kilmarnock,Hearts,1.8,3.6,4.5,1,0,H,2,1,5,4,1,1,44,17,0,2,2,5,0,1,44,17
13/05/18,2017,Hibernian,Rangers,2.62,3.5,2.5,5,5,D,3,0,10,5,2,0,61,17,0,1,3,8,0,1,61,17
13/05/18,2017,Celtic,Aberdeen,1.39,4.75,7.0,0,1,A,1,0,5,0,1,0,61,39,2,1,4,2,2,1,61,39
12/05/18,2017,St Johnstone,Ross County,2.6,3.5,2.54,1,1,D,1,0,2,1,0,0,28,33,0,2,1,6,0,2,28,33
12/05/18,2017,Motherwell,Hamilton,1.9,3.75,3.6,3,0,H,1,2,3,8,0,2,37,26,0,3,2,6,0,1,37,26
12/05/18,2017,Dundee,Partick,2.7,3.29,2.6,0,1,A,2,0,4,2,0,0,33,17,0,2,1,7,0,2,33,17
09/05/18,2017,Hearts,Hibernian,4.33,3.39,1.85,2,1,H,2,1,6,3,2,1,41,41,0,0,2,2,0,0,41,41
09/05/18,2017,Celtic,Kilmarnock,1.16,7.0,15.0,0,0,D,2,0,8,0,2,0,65,35,1,2,5,7,0,1,65,35
08/05/18,2017,Ross County,Dundee,1.95,3.7,3.5,0,1,A,1,0,5,1,1,0,17,39,0,2,1,6,0,1,17,39
08/05/18,2017,Partick,Motherwell,2.2,3.2,3.39,0,1,A,1,1,3,3,0,0,33,22,0,1,0,2,0,1,33,22
08/05/18,2017,Hamilton,St Johnstone,2.5,3.2,2.79,1,2,A,1,2,4,4,1,0,28,17,1,2,7,7,1,1,28,17
08/05/18,2017,Aberdeen,Rangers,2.39,3.29,2.87,1,1,D,2,0,6,1,2,0,61,17,1,1,6,8,1,1,61,17
06/05/18,2017,Hearts,Celtic,10.0,5.25,1.28,1,3,A,2,0,6,1,2,0,44,44,1,1,3,3,0,0,44,44
05/05/18,2017,Rangers,Kilmarnock,1.39,4.5,8.0,1,0,H,2,1,6,2,1,0,50,11,2,1,6,6,0,1,50,11
05/05/18,2017,Motherwell,St Johnstone,2.14,3.39,3.29,1,5,A,1,1,4,5,0,1,39,28,1,2,6,6,1,1,39,28
05/05/18,2017,Dundee,Hamilton,1.9,3.39,4.0,1,0,H,1,1,3,6,0,1,29,18,0,3,2,7,0,2,29,18
05/05/18,2017,Aberdeen,Hibernian,2.14,3.39,3.29,0,0,D,3,0,7,1,2,0,65,12,0,0,4,4,0,0,65,12
04/05/18,2017,Partick,Ross County,2.29,3.29,3.1,1,1,D,1,1,2,2,0,0,35,18,0,3,2,8,0,2,35,18
29/04/18,2017,Celtic,Rangers,1.53,4.33,6.0,5,0,H,1,0,3,0,1,0,62,38,2,0,11,6,2,0,62,38
28/04/18,2017,St Johnstone,Partick,2.25,3.2,3.25,1,1,D,1,0,2,1,0,0,29,29,0,3,0,9,0,3,29,29
28/04/18,2017,Motherwell,Dundee,2.1,3.29,3.5,2,1,H,0,1,2,4,0,1,35,29,0,2,0,5,0,1,35,29
28/04/18,2017,Hibernian,Kilmarnock,1.66,3.6,5.25,5,3,H,3,0,7,2,2,0,59,18,3,0,4,1,0,0,59,18
28/04/18,2017,Hamilton,Ross County,2.75,3.29,2.5,2,0,H,1,2,4,4,1,0,24,18,0,3,2,8,0,2,24,18
27/04/18,2017,Aberdeen,Hearts,1.53,4.0,6.5,2,0,H,2,1,5,3,1,1,62,12,0,2,2,5,0,1,62,12
22/04/18,2017,Rangers,Hearts,1.44,4.0,8.0,2,1,H,1,2,6,4,1,0,47,12,0,2,1,5,0,2,47,12
21/04/18,2017,Ross County,Motherwell,2.54,3.29,2.7,0,0,D,1,0,7,3,1,0,18,35,1,1,1,2,0,1,18,35
21/04/18,2017,Partick,Hamilton,1.95,3.29,4.0,2,1,H,0,2,1,3,0,0,31,19,0,3,1,6,0,2,31,19
21/04/18,2017,Kilmarnock,Aberdeen,3.1,3.2,2.37,0,2,A,3,0,7,2,2,0,47,18,1,1,2,2,1,1,47,18
21/04/18,2017,Hibernian,Celtic,6.5,4.33,1.5,2,1,H,3,0,7,1,3,0,56,19,2,0,5,3,0,0,56,19
21/04/18,2017,Dundee,St Johnstone,2.37,3.1,3.2,2,1,H,0,2,1,6,0,1,25,19,1,2,5,6,1,2,25,19
14/04/18,2017,Hamilton,Kilmarnock,4.0,3.6,1.85,1,2,A,2,1,5,3,1,0,25,19,2,0,3,1,0,0,25,19
08/04/18,2017,Hamilton,Celtic,17.0,6.5,1.16,1,2,A,2,1,7,6,1,1,27,20,2,0,5,2,1,0,27,20
07/04/18,2017,St Johnstone,Motherwell,2.62,3.1,2.75,0,0,D,1,1,3,5,0,1,31,25,1,2,2,4,0,1,31,25
07/04/18,2017,Ross County,Hibernian,4.33,3.6,1.8,1,1,D,1,0,7,3,1,0,19,31,1,0,5,4,0,0,19,31
07/04/18,2017,Rangers,Dundee,1.33,5.0,9.0,4,0,H,1,2,4,4,1,0,44,12,1,1,2,2,0,0,44,12
07/04/18,2017,Partick,Kilmarnock,3.6,3.2,2.1,0,1,A,0,2,1,4,0,1,33,20,2,0,3,1,0,0,33,20
07/04/18,2017,Hearts,Aberdeen,3.75,3.39,2.0,2,0,H,2,0,5,1,1,0,40,47,1,1,2,2,1,1,40,47
04/04/18,2017,Celtic,Dundee,1.16,7.0,15.0,0,0,D,2,0,6,1,2,0,67,33,1,2,4,5,0,0,67,33
03/04/18,2017,Ross County,Partick,2.37,3.25,3.0,4,0,H,0,1,5,7,0,1,13,33,0,3,1,7,0,2,13,33
03/04/18,2017,Motherwell,Aberdeen,3.75,3.2,2.04,0,2,A,0,1,2,3,0,0,38,31,1,1,4,4,1,1,38,31
03/04/18,2017,Hibernian,Hamilton,1.44,4.2,7.5,3,1,H,3,0,6,0,3,0,53,20,0,2,2,5,0,1,53,20
01/04/18,2017,Dundee,Hearts,2.62,3.25,2.62,1,1,D,0,3,1,9,0,2,27,13,0,2,1,5,0,2,27,13
31/03/18,2017,Motherwell,Rangers,5.25,3.6,1.66,2,2,D,1,1,2,1,1,0,40,27,3,0,11,4,3,0,40,27
31/03/18,2017,Kilmarnock,Hamilton,1.72,3.5,5.0,2,0,H,2,0,7,4,1,0,44,19,0,2,2,6,0,1,44,19
