Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
04/06/2023,2022,Valladolid,Getafe,2.2,3.3,3.4,0,0,D,1,2,5,9,1,2,44,17,1,2,1,2,0,0,44,17
04/06/2023,2022,Espanol,Almeria,2.75,3.8,2.38,3,3,D,1,1,6,7,0,1,22,33,0,3,3,8,0,2,22,33
04/06/2023,2022,Elche,Cadiz,2.63,3.4,2.63,1,1,D,2,0,6,1,1,0,17,28,0,3,1,8,0,2,17,28
04/06/2023,2022,Celta,Barcelona,2.6,3.8,2.5,2,1,H,1,1,3,3,0,0,33,33,1,2,6,7,1,1,33,33
04/06/2023,2022,Betis,Valencia,2.63,3.6,2.5,1,1,D,1,1,3,2,1,0,50,22,1,2,3,4,0,0,50,22
04/06/2023,2022,Villarreal,Ath Madrid,2.7,3.5,2.5,2,2,D,3,0,10,2,3,0,67,11,1,1,8,6,1,0,67,11
04/06/2023,2022,Sociedad,Sevilla,1.73,3.9,4.6,2,1,H,2,0,5,2,1,0,56,28,2,0,5,1,1,0,56,28
04/06/2023,2022,Real Madrid,Ath Bilbao,1.91,3.75,3.75,1,1,D,3,0,7,3,1,0,72,22,0,2,2,8,0,2,72,22
04/06/2023,2022,Osasuna,Girona,2.05,3.6,3.4,2,1,H,2,1,5,3,2,1,56,6,1,0,5,3,1,0,56,6
04/06/2023,2022,Mallorca,Vallecano,3.0,3.3,2.38,3,0,H,2,0,3,1,0,0,50,28,0,3,2,9,0,2,50,28
28/05/2023,2022,Vallecano,Villarreal,3.0,3.6,2.2,2,1,H,2,1,5,4,0,0,44,28,1,1,4,4,0,0,44,28
28/05/2023,2022,Valencia,Espanol,2.0,3.75,3.4,2,2,D,2,0,4,2,0,0,44,22,1,2,6,8,0,1,44,22
28/05/2023,2022,Girona,Betis,1.95,3.6,3.6,1,2,A,2,1,7,5,1,0,56,17,1,1,1,4,0,1,56,17
